koi_disposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_prad,koi_steff,koi_srad,koi_model_snr,koi_teq,koi_insol,koi_slogg
CONFIRMED,-0.04958762194491429,0.06413123743284077,-0.4116856304687081,-0.2818098159822628,-0.03269949559060162,-0.31603746511711694,-0.1308521229239886,-0.28161009866005854,-0.3414507165768719,-0.04806744192706354,0.36257413132282545
CONFIRMED,-0.01592371733523795,-0.05402913516612395,-0.17224065694808063,-0.2786604285135204,-0.03251427862589568,-0.31603746511711694,-0.1308521229239886,-0.29417664847050357,-0.75018376554731,-0.04859810835074817,0.36257413132282545
CANDIDATE,-0.041787138594192766,0.1423388504004813,-0.5933052996386298,-0.15761937545809537,-0.02868971077573969,0.18345134734504412,-0.1404818647216958,-0.2307155719277561,-0.5224610668352088,-0.04840846797040916,0.5405746751718321
FALSE POSITIVE,-0.05539509371710846,0.06072722346392529,-0.4968458308284904,-0.19105638573434136,-0.02256130383827647,0.12321149056568802,-0.1530494938475171,0.3087664114346494,0.3615701276522817,-0.04305243065010927,0.5868085826650817
CONFIRMED,-0.05480420847649903,0.07969177104163976,-0.6130388415028337,-0.2819618134469704,-0.03254027398936318,0.40684081623515633,-0.11142942336590116,-0.2752011582567316,0.3744160234770669,-0.04283760120302103,0.29553496545761526
CONFIRMED,-0.048384118578924676,0.07388469415862081,-0.15871924024394704,-0.2708453268681123,-0.032166590639517864,0.42566577147870516,-0.12350740460370344,-0.24303079074199227,-0.2924027507004193,-0.04793414716486434,0.40649634344141183
CONFIRMED,-0.053598788258534535,0.10006741224009526,-0.3834529123904773,-0.28095619822046464,-0.032533775148496306,0.42566577147870516,-0.12350740460370344,-0.27608081674346274,0.08713508048641608,-0.04596902306465721,0.40649634344141183
CONFIRMED,-0.054773491473792076,0.1968790213220905,-0.4933549873616747,-0.2865436250231176,-0.03291720675964194,0.42566577147870516,-0.12350740460370344,-0.3077485222657842,0.32069682275523786,-0.043581463867471006,0.40649634344141183
FALSE POSITIVE,-0.05118070427692846,-0.49963213702882037,-0.09265746148946602,-0.28645607448344595,-0.020692887089049886,0.6528202314175271,0.037423534591878124,-0.266655904385629,0.2996762659510439,-0.0438359927913311,-0.7493513438898003
CONFIRMED,-0.044657122163568604,0.1095286966831358,-0.3224906393644124,-0.22954092781859875,-0.03156219843889848,-0.8481562000014292,-0.14374618397515587,-0.12314590555034659,-0.566837797866285,-0.04846217533218122,0.4041846480667507
